seqnames,start,end,width,strand,Conc,Conc_Yng,Conc_Old,Fold,p.value,FDR
chr5,147075925,147078173,2249,*,10.03,10.2,9.83,0.37,4.69e-05,0.00421
chr7,79005951,79007720,1770,*,7.65,8.02,7.15,0.86,4.77e-05,0.00426
chr12,117843169,117844433,1265,*,9.04,9.28,8.75,0.53,4.78e-05,0.00426
chr15,38542844,38544479,1636,*,7.63,7.04,8.04,-1,4.79e-05,0.00426
chr3,126997333,126998663,1331,*,8.13,8.44,7.73,0.7,4.8e-05,0.00426
chr16,85172078,85174224,2147,*,9.99,10.17,9.79,0.37,4.83e-05,0.00426
chr6,140423323,140425529,2207,*,9.89,10.07,9.68,0.39,4.83e-05,0.00426
chr17,83213940,83216209,2270,*,9.35,9.56,9.11,0.45,4.84e-05,0.00426
chrX,157490849,157492642,1794,*,9.31,9.53,9.06,0.47,4.94e-05,0.00433
chr13,22034818,22036759,1942,*,9.37,9.62,9.07,0.54,4.95e-05,0.00433
chr4,5797762,5798870,1109,*,9.35,9.56,9.11,0.45,5e-05,0.00434
chr15,55089530,55091136,1607,*,9.06,9.29,8.78,0.51,5e-05,0.00434
chr13,69533178,69535642,2465,*,10.33,10.5,10.14,0.35,5.03e-05,0.00436
chr10,50893663,50895450,1788,*,8.96,9.2,8.67,0.53,5.12e-05,0.00441
chr1,30948453,30950597,2145,*,10.39,10.55,10.21,0.34,5.15e-05,0.00441
chr16,65561411,65563230,1820,*,9.47,9.67,9.23,0.44,5.15e-05,0.00441
chr12,17690133,17692757,2625,*,10.01,10.18,9.82,0.37,5.22e-05,0.00441
chr19,61199285,61200488,1204,*,8.6,8.86,8.27,0.6,5.24e-05,0.00441
chrX,105064360,105065323,964,*,8.22,8.52,7.84,0.69,5.26e-05,0.00441
chr18,44827645,44829541,1897,*,9.67,9.87,9.45,0.43,5.27e-05,0.00441
chr2,22894912,22896388,1477,*,9.11,9.34,8.83,0.51,5.27e-05,0.00441
chr7,35753874,35754973,1100,*,8.98,9.22,8.7,0.52,5.28e-05,0.00441
chr11,32564879,32565764,886,*,8.36,8.64,8,0.64,5.29e-05,0.00441
chr12,113277492,113278387,896,*,7.72,8.11,7.2,0.91,5.31e-05,0.00441
chr12,102877157,102879059,1903,*,9.72,9.91,9.49,0.42,5.31e-05,0.00441
chr17,53586837,53588223,1387,*,9.07,9.3,8.8,0.5,5.32e-05,0.00441
chr11,67052028,67053067,1040,*,8.4,8.68,8.04,0.64,5.33e-05,0.00441
chr10,30842211,30844705,2495,*,9.78,9.97,9.57,0.4,5.34e-05,0.00441
chr18,21651508,21654040,2533,*,9.2,9.46,8.88,0.58,5.35e-05,0.00441
chr1,193513702,193514773,1072,*,7.55,7.95,7.01,0.94,5.42e-05,0.00445
chr3,51275856,51277992,2137,*,10.21,10.38,10.02,0.36,5.44e-05,0.00445
chr8,18950073,18951656,1584,*,9.76,9.95,9.54,0.4,5.45e-05,0.00445
chr1,127204669,127206619,1951,*,9.69,9.88,9.45,0.43,5.46e-05,0.00445
chr10,105573645,105575715,2071,*,10.21,10.38,10.02,0.36,5.47e-05,0.00445
chr19,59344284,59346482,2199,*,9.6,9.79,9.37,0.41,5.5e-05,0.00446
chr9,112207748,112208312,565,*,7.89,8.24,7.44,0.8,5.52e-05,0.00446
chr6,116664039,116664743,705,*,7.35,7.74,6.81,0.93,5.55e-05,0.00447
chr12,108332924,108334820,1897,*,9.68,9.87,9.47,0.4,5.57e-05,0.00447
chr14,51983869,51986340,2472,*,9.64,9.84,9.41,0.43,5.59e-05,0.00447
chr5,125440683,125442558,1876,*,9.02,9.26,8.74,0.52,5.61e-05,0.00448
chr13,74522076,74523405,1330,*,9,9.23,8.73,0.5,5.63e-05,0.00448
chr7,105398893,105400760,1868,*,10.26,10.43,10.07,0.36,5.66e-05,0.00448
chr14,100284400,100286745,2346,*,10.33,10.51,10.12,0.39,5.67e-05,0.00448
chr9,16499586,16502561,2976,*,9.07,9.33,8.75,0.58,5.69e-05,0.00448
chr9,25150745,25152447,1703,*,10.01,10.2,9.8,0.4,5.7e-05,0.00448
chr3,51073014,51073792,779,*,7.45,7.9,6.8,1.1,5.72e-05,0.00449
chr16,16599313,16600885,1573,*,9.12,9.35,8.86,0.49,5.75e-05,0.0045
chr2,145166891,145168818,1928,*,9.72,9.91,9.51,0.4,5.85e-05,0.00456
chr8,8658758,8662253,3496,*,10.4,10.58,10.19,0.39,5.88e-05,0.00458
chr14,18301359,18302244,886,*,8.07,8.38,7.67,0.71,5.93e-05,0.0046
chr2,174601952,174603014,1063,*,9.26,9.48,9,0.48,5.94e-05,0.0046
chr7,7297993,7299860,1868,*,9.95,10.13,9.74,0.39,5.98e-05,0.00462
chr19,8712675,8714274,1600,*,9.53,9.72,9.3,0.42,6.01e-05,0.00463
chr4,117495933,117497178,1246,*,8.17,8.47,7.79,0.69,6.03e-05,0.00463
chr16,3883963,3885865,1903,*,9.51,9.71,9.28,0.43,6.06e-05,0.00464
chr12,44209099,44210747,1649,*,10.08,10.25,9.88,0.37,6.16e-05,0.0047
chr1,33756251,33758328,2078,*,9.04,9.27,8.77,0.49,6.22e-05,0.0047
chr9,37551881,37553436,1556,*,9.07,9.3,8.79,0.51,6.22e-05,0.0047
chr13,65277918,65279514,1597,*,9.64,9.83,9.42,0.41,6.23e-05,0.0047
chr13,23681999,23685763,3765,*,10.58,10.9,10.16,0.74,6.24e-05,0.0047
chr4,21688267,21689936,1670,*,8.37,8.66,8.01,0.65,6.26e-05,0.0047
chr1,177440988,177443555,2568,*,10.47,10.63,10.3,0.34,6.26e-05,0.0047
chrX,138913269,138914940,1672,*,8.33,8.64,7.93,0.71,6.28e-05,0.00471
chr8,119352719,119353935,1217,*,7.7,8.07,7.21,0.86,6.32e-05,0.00471
chr19,10948246,10949958,1713,*,8.65,8.91,8.34,0.57,6.32e-05,0.00471
chr13,80884648,80886608,1961,*,10.39,10.55,10.21,0.33,6.36e-05,0.00472
chr7,49496579,49497689,1111,*,8.59,8.86,8.25,0.61,6.5e-05,0.0048
chr14,101607605,101609406,1802,*,9.84,10.03,9.62,0.41,6.5e-05,0.0048
chr19,11911534,11913346,1813,*,9.45,9.65,9.21,0.44,6.53e-05,0.00481
chr6,28832031,28834011,1981,*,9.02,9.25,8.75,0.5,6.55e-05,0.00482
chr11,16751959,16753350,1392,*,7.88,8.22,7.45,0.77,6.61e-05,0.00484
chr5,90364515,90367207,2693,*,10.35,10.51,10.17,0.34,6.61e-05,0.00484
chr12,108835339,108836700,1362,*,9.34,9.55,9.09,0.45,6.68e-05,0.00487
chr3,65949572,65951085,1514,*,7.5,7.88,6.98,0.9,6.76e-05,0.00491
chr8,47532975,47534422,1448,*,9.53,9.73,9.31,0.42,6.76e-05,0.00491
chr5,136691108,136691914,807,*,7.55,7.95,6.98,0.98,6.8e-05,0.00491
chrX,158041673,158044116,2444,*,9.05,9.27,8.78,0.49,6.82e-05,0.00491
chr3,116006520,116008543,2024,*,9.78,9.97,9.57,0.4,6.83e-05,0.00491
chr10,26373519,26376449,2931,*,10.18,10.35,9.98,0.36,6.91e-05,0.00494
chr2,19656892,19659226,2335,*,10.38,10.54,10.19,0.35,6.94e-05,0.00494
chr19,12794635,12797097,2463,*,10.69,10.84,10.54,0.3,6.95e-05,0.00494
chr1,9966874,9968660,1787,*,8.61,8.88,8.28,0.6,6.96e-05,0.00494
chr10,103367167,103369527,2361,*,10.15,10.32,9.96,0.35,6.96e-05,0.00494
chr7,133121544,133124782,3239,*,9.99,10.16,9.8,0.37,6.97e-05,0.00494
chr19,9071195,9072018,824,*,7.39,7.8,6.8,1,7.03e-05,0.00495
chr8,46616579,46618355,1777,*,9.62,9.81,9.4,0.4,7.03e-05,0.00495
chr16,85899443,85901931,2489,*,9.09,9.32,8.81,0.51,7.05e-05,0.00495
chr1,91412473,91414637,2165,*,9.35,9.55,9.1,0.45,7.06e-05,0.00495
chr11,74829732,74833034,3303,*,10.91,11.06,10.74,0.32,7.09e-05,0.00496
chr18,84085009,84086853,1845,*,9.42,9.63,9.18,0.45,7.14e-05,0.00497
chr6,115792041,115793370,1330,*,8.54,8.81,8.21,0.61,7.14e-05,0.00497
chr2,150786090,150787870,1781,*,9.17,9.39,8.92,0.47,7.2e-05,0.005
chr16,46009753,46011320,1568,*,9.56,9.75,9.34,0.42,7.21e-05,0.005
chr8,90907700,90909732,2033,*,10.12,10.29,9.93,0.36,7.38e-05,0.0051
chr7,118855019,118856323,1305,*,8.88,9.13,8.59,0.54,7.42e-05,0.00512
chr16,89985466,89987300,1835,*,9.45,9.66,9.21,0.45,7.52e-05,0.00518
chr12,108554067,108555684,1618,*,8.5,8.77,8.16,0.61,7.55e-05,0.00518
chr19,41829475,41831376,1902,*,9.45,9.65,9.23,0.43,7.59e-05,0.00518
chr6,142386325,142387987,1663,*,9.49,9.68,9.26,0.42,7.6e-05,0.00518
chr6,6955375,6956730,1356,*,9.13,9.35,8.87,0.48,7.62e-05,0.00518
chr10,99126727,99128228,1502,*,9.1,9.32,8.84,0.49,7.62e-05,0.00518
chr19,40366029,40366951,923,*,8.48,8.74,8.15,0.59,7.74e-05,0.00525
chr3,127632229,127635021,2793,*,9.15,9.37,8.9,0.47,7.76e-05,0.00525
chr5,67846287,67848291,2005,*,10.25,10.42,10.06,0.36,7.82e-05,0.00527
chr5,88564428,88566475,2048,*,9.88,10.06,9.68,0.38,7.83e-05,0.00527
chr14,34673321,34674998,1678,*,9.7,9.89,9.48,0.41,7.91e-05,0.00529
chr5,41843517,41845619,2103,*,9.68,9.87,9.47,0.4,7.92e-05,0.00529
chr4,101418897,101420774,1878,*,8.98,9.21,8.71,0.5,7.92e-05,0.00529
chr19,38930095,38931964,1870,*,8.71,8.98,8.38,0.6,7.97e-05,0.00529
chr7,56018500,56020006,1507,*,9.13,9.34,8.87,0.47,7.97e-05,0.00529
chr9,85325494,85328817,3324,*,9.95,10.13,9.76,0.37,7.98e-05,0.00529
chr16,48992892,48994676,1785,*,9.62,9.81,9.41,0.41,8.03e-05,0.00531
chr2,23155317,23156937,1621,*,9.71,9.9,9.5,0.41,8.06e-05,0.00531
chr15,27782737,27784724,1988,*,9.5,9.7,9.26,0.44,8.08e-05,0.00531
chr19,47918311,47920327,2017,*,9.49,9.69,9.27,0.42,8.1e-05,0.00531
chr15,93397732,93399482,1751,*,9.26,9.47,9.01,0.46,8.11e-05,0.00531
chr15,28024122,28026485,2364,*,10.34,10.52,10.15,0.37,8.13e-05,0.00531
chr13,73763070,73764854,1785,*,9.49,9.69,9.26,0.42,8.18e-05,0.00533
chrX,77794946,77797160,2215,*,9.78,9.96,9.57,0.39,8.22e-05,0.00535
chr17,81500416,81501323,908,*,8.35,8.65,7.97,0.68,8.28e-05,0.00537
chr19,10894756,10896245,1490,*,9.04,9.26,8.77,0.49,8.36e-05,0.00541
chr12,102646011,102647248,1238,*,8.92,9.15,8.63,0.52,8.41e-05,0.00543
chr19,10172761,10174414,1654,*,9.49,9.68,9.26,0.43,8.54e-05,0.0055
chr12,101975131,101976684,1554,*,9.55,9.74,9.33,0.41,8.55e-05,0.0055
chr11,72041434,72042676,1243,*,8.49,8.76,8.15,0.61,8.58e-05,0.0055
chr17,83277150,83278953,1804,*,9.8,9.98,9.6,0.38,8.61e-05,0.0055
chr3,9608418,9610545,2128,*,9.79,9.98,9.58,0.4,8.64e-05,0.0055
chr7,92560855,92562274,1420,*,9.2,9.43,8.93,0.5,8.66e-05,0.0055
chr4,28812627,28814440,1814,*,9.89,10.06,9.69,0.38,8.67e-05,0.0055
chr2,168229156,168231587,2432,*,9.6,9.8,9.36,0.44,8.67e-05,0.0055
chr7,48880568,48882722,2155,*,9.89,10.07,9.7,0.37,8.71e-05,0.00552
chr14,118000237,118002182,1946,*,8.16,8.46,7.79,0.67,8.75e-05,0.00553
chr5,125177635,125180472,2838,*,10.09,10.27,9.89,0.38,8.83e-05,0.00555
chr7,89403286,89405410,2125,*,9.86,10.04,9.66,0.38,8.92e-05,0.00555
chr14,18462259,18463089,831,*,7.43,6.78,7.87,-1.09,8.96e-05,0.00555
chr7,43464779,43466763,1985,*,10.18,10.35,9.99,0.36,8.98e-05,0.00555
chr12,69183491,69185224,1734,*,9.68,9.88,9.46,0.41,8.99e-05,0.00555
chr19,23446994,23448463,1470,*,8.19,8.48,7.82,0.67,9e-05,0.00555
chr16,85800675,85803571,2897,*,10.37,10.54,10.19,0.35,9e-05,0.00555
chr3,159839343,159841321,1979,*,9.74,9.92,9.53,0.39,9.02e-05,0.00555
chr18,62188613,62189831,1219,*,9.17,9.38,8.92,0.46,9.04e-05,0.00555
chr18,89607997,89609694,1698,*,9.3,9.51,9.05,0.46,9.05e-05,0.00555
chr19,21280774,21282705,1932,*,7.55,7.94,7.01,0.93,9.06e-05,0.00555
chr16,26581063,26582681,1619,*,9.44,9.63,9.21,0.42,9.06e-05,0.00555
chr2,68860549,68862818,2270,*,9.67,9.86,9.46,0.4,9.09e-05,0.00555
chr17,15704128,15706412,2285,*,10.45,10.61,10.27,0.34,9.09e-05,0.00555
chr14,101882965,101883843,879,*,8.4,8.68,8.05,0.64,9.1e-05,0.00555
chr6,108658775,108661763,2989,*,10.84,10.99,10.68,0.32,9.12e-05,0.00555
chr10,70244427,70246361,1935,*,9.09,9.32,8.82,0.5,9.13e-05,0.00555
chr8,45332305,45334082,1778,*,9.09,9.31,8.83,0.48,9.14e-05,0.00555
chr11,63988984,63989915,932,*,7.71,8.06,7.25,0.81,9.25e-05,0.0056
chr11,48799409,48800892,1484,*,9.03,9.25,8.77,0.48,9.38e-05,0.00566
chr10,110918550,110920922,2373,*,9.47,9.67,9.24,0.43,9.39e-05,0.00566
chr12,102757124,102758727,1604,*,9.42,9.62,9.19,0.43,9.47e-05,0.00569
chr17,15395443,15396736,1294,*,8.87,9.11,8.59,0.51,9.47e-05,0.00569
chr19,37962972,37964054,1083,*,7.97,8.29,7.57,0.71,9.5e-05,0.00569
chr1,20890125,20891736,1612,*,9.46,9.66,9.23,0.42,9.52e-05,0.00569
chr16,91354501,91355649,1149,*,8.78,9.04,8.47,0.56,9.55e-05,0.0057
chr8,3630568,3631976,1409,*,8.92,9.15,8.64,0.51,9.63e-05,0.00571
chr12,40445199,40447631,2433,*,10.05,10.23,9.85,0.38,9.63e-05,0.00571
chr12,36831144,36832080,937,*,7.44,7.82,6.93,0.88,9.64e-05,0.00571
chr4,152008307,152010935,2629,*,10.04,10.22,9.84,0.38,9.67e-05,0.00571
chr10,34417702,34419080,1379,*,9.65,9.84,9.44,0.41,9.73e-05,0.00574
chr2,173274731,173277070,2340,*,9.98,10.18,9.76,0.41,9.76e-05,0.00574
chr13,9093346,9095012,1667,*,9.93,10.12,9.72,0.39,9.77e-05,0.00574
chr11,19923906,19926551,2646,*,10.5,10.66,10.32,0.34,9.84e-05,0.00577
chr14,114945676,114946970,1295,*,8.52,8.8,8.17,0.63,9.88e-05,0.00577
chr15,89497467,89500574,3108,*,10.05,10.22,9.85,0.37,9.88e-05,0.00577
chr2,11552485,11554336,1852,*,9.63,9.83,9.39,0.43,9.98e-05,0.00582
chr5,8622099,8623523,1425,*,9.65,9.84,9.43,0.41,0.000101,0.00584
chr11,51643675,51644812,1138,*,7.79,8.16,7.29,0.87,0.000101,0.00584
chr2,3117893,3119418,1526,*,9.23,9.44,8.99,0.45,0.000101,0.00587
chr18,41950389,41951906,1518,*,9.31,9.51,9.08,0.44,0.000102,0.00587
chr3,9402180,9403968,1789,*,9.15,9.37,8.89,0.47,0.000102,0.0059
chr2,52741591,52743232,1642,*,9.46,9.66,9.23,0.42,0.000103,0.00591
chr4,152087371,152088477,1107,*,8.24,8.53,7.86,0.67,0.000103,0.00591
chr12,104471299,104472354,1056,*,7.7,8.04,7.26,0.78,0.000103,0.00591
chr8,79027831,79031196,3366,*,10.11,10.29,9.91,0.38,0.000103,0.00591
chr7,75686015,75686972,958,*,7.64,8,7.15,0.85,0.000104,0.00591
chr8,31167956,31169486,1531,*,9.19,9.4,8.94,0.46,0.000105,0.00595
chr6,42343135,42344297,1163,*,8.82,9.07,8.52,0.55,0.000105,0.00595
chr10,3365790,3367608,1819,*,8.28,8.56,7.92,0.65,0.000105,0.00596
chr5,53588513,53591279,2767,*,10.6,10.75,10.43,0.32,0.000105,0.00596
chr17,53688830,53690281,1452,*,9.56,9.75,9.34,0.41,0.000106,0.00597
chr5,105717774,105718884,1111,*,9.16,9.38,8.9,0.47,0.000106,0.00599
chr7,68748266,68749853,1588,*,9.81,9.99,9.6,0.38,0.000107,0.00599
chr14,99265565,99266402,838,*,8.33,8.63,7.94,0.69,0.000107,0.00601
chr5,130171025,130172713,1689,*,9.89,10.07,9.69,0.37,0.000107,0.00601
chr18,75696409,75697974,1566,*,9.09,9.31,8.84,0.47,0.000108,0.00602
chr18,10180970,10182634,1665,*,9.88,10.05,9.68,0.37,0.000108,0.00602
chr12,117251531,117252841,1311,*,7.94,8.26,7.52,0.74,0.000108,0.00602
chr3,75955870,75957620,1751,*,9.93,10.1,9.73,0.37,0.000108,0.00602
chr12,116047190,116048256,1067,*,9.16,9.38,8.9,0.48,0.000109,0.00604
chr2,53190713,53192708,1996,*,10.32,10.48,10.13,0.35,0.000109,0.00604
chr6,146795272,146796629,1358,*,8.39,8.68,8.04,0.64,0.00011,0.00606
chr1,10231609,10233953,2345,*,9.97,10.15,9.78,0.37,0.00011,0.00606
chr16,8829039,8831281,2243,*,10.32,10.48,10.15,0.33,0.000111,0.00607
chr5,3801890,3803922,2033,*,9.69,9.88,9.48,0.4,0.000111,0.00607
chr5,18012566,18013952,1387,*,7.54,7.91,7.03,0.88,0.000111,0.00607
chr14,60176738,60178128,1391,*,7.8,8.13,7.37,0.75,0.000112,0.00613
chr2,18063777,18065902,2126,*,10.48,10.63,10.31,0.32,0.000113,0.00613
chr7,90475545,90477154,1610,*,9.68,9.87,9.47,0.4,0.000113,0.00613
chr8,40510793,40512654,1862,*,10.17,10.33,9.99,0.34,0.000113,0.00613
chr16,87712762,87713879,1118,*,8.41,8.68,8.08,0.6,0.000113,0.00613
chr11,73198675,73200127,1453,*,9.42,9.63,9.19,0.44,0.000113,0.00613
chr11,93954976,93956473,1498,*,9.15,9.36,8.9,0.46,0.000113,0.00613
chr10,81523634,81525323,1690,*,8.92,9.17,8.63,0.53,0.000114,0.00613
chr12,58212247,58215274,3028,*,9.55,9.75,9.32,0.43,0.000114,0.00613
chr12,105008456,105010414,1959,*,9.9,10.08,9.71,0.37,0.000115,0.00613
chr6,134201941,134202764,824,*,7.87,8.2,7.44,0.75,0.000115,0.00613
chr12,102703172,102705797,2626,*,9.71,9.89,9.5,0.39,0.000115,0.00613
chr14,50806866,50808331,1466,*,9.44,9.64,9.21,0.42,0.000115,0.00613
chr6,143114524,143116053,1530,*,9.44,9.64,9.21,0.43,0.000115,0.00616
chr4,94555826,94557402,1577,*,9,9.23,8.74,0.48,0.000116,0.00616
chr6,140622875,140624961,2087,*,10.02,10.19,9.82,0.37,0.000116,0.00617
chr3,37418845,37421183,2339,*,10.38,10.53,10.2,0.33,0.000117,0.00617
chr4,40721930,40723533,1604,*,10.01,10.17,9.82,0.36,0.000117,0.00617
chr1,105662940,105664803,1864,*,9.64,9.82,9.42,0.4,0.000117,0.00619
chr16,87698611,87700561,1951,*,10.09,10.26,9.91,0.35,0.000118,0.0062
chr2,106692846,106695474,2629,*,9.72,9.91,9.5,0.41,0.000118,0.0062
chr12,113139677,113141054,1378,*,9,9.24,8.71,0.54,0.000119,0.0062
chr13,119407969,119409953,1985,*,9.7,9.88,9.49,0.4,0.000119,0.0062
chr18,65430239,65431827,1589,*,9.94,10.11,9.74,0.37,0.000119,0.0062
chr13,76383774,76385380,1607,*,9.26,9.47,9.02,0.45,0.000119,0.0062
chr1,23382228,23383984,1757,*,9.95,10.12,9.76,0.36,0.00012,0.00625
chr18,23751531,23753921,2391,*,9.44,9.63,9.21,0.41,0.00012,0.00625
chr1,121326986,121328607,1622,*,9.4,9.59,9.17,0.42,0.00012,0.00626
chr8,129262935,129264239,1305,*,8.68,8.93,8.38,0.55,0.000122,0.00632
chr11,22858074,22860862,2789,*,10.23,10.38,10.05,0.33,0.000124,0.00641
chr1,75398621,75401001,2381,*,8.66,8.92,8.34,0.58,0.000124,0.00642
chr12,3425762,3427881,2120,*,10.04,10.2,9.85,0.35,0.000125,0.00645
chr13,106699631,106700743,1113,*,8.48,8.74,8.17,0.58,0.000125,0.00645
chr1,82282770,82284184,1415,*,9.05,9.27,8.79,0.48,0.000127,0.00653
chr5,39643101,39645556,2456,*,9.65,9.84,9.43,0.42,0.000128,0.00655
chr7,105639987,105641307,1321,*,9.46,9.65,9.23,0.42,0.000128,0.00657
chr10,72654171,72655971,1801,*,9.59,9.77,9.38,0.4,0.000129,0.00658
chr12,117560240,117561126,887,*,8.03,8.33,7.64,0.7,0.00013,0.00658
chr2,14603482,14605542,2061,*,9.77,9.95,9.57,0.39,0.00013,0.00658
chr12,110590872,110592164,1293,*,9.11,9.32,8.86,0.46,0.00013,0.00658
chr19,47263514,47264672,1159,*,7.69,8.03,7.25,0.78,0.00013,0.00658
chr8,47989552,47991476,1925,*,10.13,10.3,9.94,0.36,0.000131,0.00658
chrX,94990114,94991394,1281,*,7.5,7.91,6.94,0.96,0.000132,0.00658
chr11,90389568,90391153,1586,*,9.16,9.37,8.92,0.45,0.000132,0.00658
chr16,64850660,64853107,2448,*,10.47,10.62,10.3,0.32,0.000132,0.00658
chr1,176813074,176815109,2036,*,10.06,10.24,9.86,0.38,0.000132,0.00658
chr10,125635222,125637304,2083,*,7.3,7.72,6.7,1.03,0.000132,0.00658
chr4,84674110,84676246,2137,*,9.47,9.67,9.25,0.42,0.000132,0.00658
chr1,43933192,43934894,1703,*,9.83,10,9.62,0.38,0.000133,0.00658
chr12,113073994,113075679,1686,*,8.82,9.06,8.53,0.53,0.000133,0.00658
chr12,105784197,105785495,1299,*,9.55,9.75,9.32,0.43,0.000133,0.00658
chr10,93261077,93262565,1489,*,8.68,8.93,8.37,0.57,0.000133,0.00658
chr18,62921586,62923338,1753,*,9.13,9.36,8.86,0.5,0.000134,0.00658
chr15,33082737,33083960,1224,*,9.21,9.42,8.97,0.45,0.000134,0.00658
chr8,120563429,120564808,1380,*,9.01,9.22,8.75,0.48,0.000134,0.00658
chr18,62977419,62978769,1351,*,8.69,8.94,8.39,0.55,0.000134,0.00658
chr12,118300788,118302789,2002,*,10.71,10.86,10.54,0.32,0.000135,0.00658
chr8,116731970,116733868,1899,*,9.49,9.69,9.25,0.44,0.000135,0.00658
chr11,30771269,30773474,2206,*,9.87,10.04,9.68,0.36,0.000135,0.00658
chr5,8221461,8222484,1024,*,7.72,8.05,7.29,0.76,0.000135,0.00658
chr17,75004821,75006631,1811,*,9.06,9.28,8.79,0.49,0.000136,0.00658
chr5,144254283,144256774,2492,*,9.8,9.99,9.6,0.39,0.000136,0.00658
chr19,8770730,8771464,735,*,7.6,7.94,7.14,0.8,0.000136,0.00658
chr1,44551282,44552793,1512,*,9.7,9.88,9.49,0.39,0.000136,0.00658
chr1,139454046,139455562,1517,*,9.52,9.71,9.3,0.42,0.000136,0.00658
chr10,78464253,78466013,1761,*,9.53,9.72,9.32,0.4,0.000136,0.00658
chr2,12923434,12924764,1331,*,9.29,9.5,9.06,0.44,0.000136,0.00658
chr11,106778490,106780397,1908,*,9.63,9.84,9.39,0.46,0.000137,0.0066
chr17,67352973,67355307,2335,*,9.6,9.79,9.37,0.43,0.000137,0.0066
chr1,9747443,9748973,1531,*,9.7,9.88,9.49,0.39,0.000137,0.0066
chrX,69359768,69361607,1840,*,8.52,8.78,8.21,0.56,0.000137,0.0066
chr8,46764643,46765720,1078,*,8.17,8.47,7.79,0.68,0.000138,0.00662
chr3,110141573,110144118,2546,*,9.17,9.39,8.92,0.46,0.000139,0.00664
chr2,45049303,45050137,835,*,7.73,8.07,7.3,0.76,0.000139,0.00664
chr9,8042210,8043679,1470,*,8.9,9.12,8.63,0.5,0.000139,0.00664
chr2,147083528,147085701,2174,*,8.53,8.79,8.21,0.58,0.000139,0.00664
chr3,129213635,129214997,1363,*,9.04,9.25,8.78,0.47,0.00014,0.00667
chr15,3270328,3271889,1562,*,8.71,8.95,8.42,0.53,0.00014,0.00667
chr11,60185111,60186970,1860,*,8.64,8.89,8.35,0.54,0.000141,0.00667
chr17,28020085,28021136,1052,*,7.51,7.9,6.98,0.92,0.000141,0.00667
chr10,3740123,3741793,1671,*,9.25,9.46,9.02,0.44,0.000143,0.00677
chr14,122450003,122451347,1345,*,7.7,8.04,7.24,0.8,0.000145,0.00683
chr6,40890638,40892296,1659,*,9.44,9.63,9.21,0.43,0.000145,0.00683
chr6,8508808,8511284,2477,*,10.3,10.47,10.11,0.36,0.000146,0.00684
chr10,75429179,75430018,840,*,7.75,8.1,7.29,0.82,0.000147,0.00684
chr12,3308540,3310812,2273,*,10.04,10.21,9.85,0.36,0.000147,0.00684
chr12,26524689,26525621,933,*,7.93,8.24,7.53,0.7,0.000147,0.00684
chr4,3648380,3649753,1374,*,8.96,9.18,8.7,0.49,0.000147,0.00684
chr3,131333302,131335481,2180,*,8.67,8.93,8.35,0.58,0.000147,0.00684
chr10,103026784,103029030,2247,*,8.8,9.05,8.49,0.56,0.000148,0.00684
chr2,168980662,168981423,762,*,8.28,8.6,7.88,0.72,0.000148,0.00684
chr14,84445590,84446605,1016,*,8.11,8.4,7.75,0.66,0.000148,0.00684
chr18,64659892,64661676,1785,*,8.43,8.71,8.09,0.62,0.000148,0.00684
chrX,166238678,166240234,1557,*,7.7,8.04,7.24,0.8,0.000148,0.00684
chr16,59638551,59639937,1387,*,9.4,9.59,9.17,0.42,0.000149,0.00686
chr8,41373810,41375447,1638,*,9.73,9.91,9.52,0.39,0.000149,0.00686
chr12,11265195,11267095,1901,*,9.86,10.04,9.66,0.38,0.000149,0.00686
chr14,120910285,120912008,1724,*,10.01,10.18,9.82,0.36,0.00015,0.00686
chr6,28497349,28498677,1329,*,8.55,8.8,8.24,0.56,0.00015,0.00686
chr17,52600669,52603551,2883,*,9.83,10.01,9.62,0.4,0.00015,0.00686
chr13,85188900,85190280,1381,*,9.44,9.63,9.21,0.42,0.000151,0.00688
chr19,11964857,11966644,1788,*,10.09,10.25,9.91,0.35,0.000151,0.00688
chr15,4816504,4817344,841,*,8.34,8.61,8,0.62,0.000152,0.00688
chr1,121430577,121432154,1578,*,9.15,9.36,8.91,0.45,0.000152,0.00688
chr8,38659858,38661841,1984,*,9.02,9.25,8.76,0.5,0.000152,0.00688
chr8,83739872,83741644,1773,*,9.17,9.39,8.92,0.47,0.000152,0.00688
chr15,32920145,32921672,1528,*,8.86,9.09,8.58,0.51,0.000153,0.00688
chr13,9763161,9765678,2518,*,10.28,10.43,10.11,0.33,0.000153,0.00688
chr7,27195437,27196863,1427,*,9.5,9.69,9.29,0.4,0.000153,0.00688
chr2,94405785,94407564,1780,*,9.35,9.55,9.12,0.43,0.000153,0.00688
chr8,8688964,8690849,1886,*,9.76,9.94,9.56,0.38,0.000155,0.00697
chr7,67461557,67462595,1039,*,8.33,8.61,7.98,0.63,0.000155,0.00697
chr12,3364725,3366297,1573,*,8.62,8.87,8.32,0.55,0.000156,0.00697
chr12,106009765,106011031,1267,*,9.17,9.38,8.93,0.45,0.000156,0.00697
chr18,37824820,37825755,936,*,8.09,8.39,7.73,0.66,0.000156,0.00697
chr17,22423401,22425243,1843,*,8.98,9.2,8.72,0.48,0.000157,0.00697
chr2,39189628,39191232,1605,*,9.86,10.04,9.65,0.39,0.000157,0.00697
chr8,25429792,25430912,1121,*,8.52,8.78,8.19,0.59,0.000157,0.00697
